pixel_addr c0 c1 c2 c3 c4 c5 c6 c7
0 -128 18 14 -9 -128 -128 -35 -128
1 -128 -84 60 59 -128 -77 -18 -128
2 -82 -128 -47 2 -97 -39 -73 -128
3 -115 -6 -71 -6 -128 -125 -19 -128
4 -122 -14 27 78 -128 -122 -25 -128
5 -121 -113 41 65 -128 -77 -53 -128
6 -77 -128 -69 -24 -87 -47 -84 -128
7 -109 -44 -71 -11 -128 -128 -44 -115
8 -128 79 -125 -90 -107 -128 39 -84
9 -82 -76 -1 -68 -114 -123 -128 -124
10 -73 24 -116 -51 -79 -83 64 -83
11 -90 -31 -5 -19 -100 -118 -71 -106
12 -128 36 -27 -55 -94 -83 61 -72
13 -49 -77 -10 -15 -114 -92 -94 -120
14 -19 24 -118 -2 -84 -87 46 -102
15 -128 -64 48 42 -128 -128 -128 -128
16 -128 -1 -35 -63 -128 -128 -10 -68
17 -43 -46 -93 -20 -69 -42 -35 -128
18 -105 -35 -10 -68 -128 -128 -57 -46
19 -38 -10 -122 -30 -45 -26 41 -99
20 -75 44 -21 -24 -128 -128 -48 -99
21 -84 -12 -12 6 -89 -59 2 -123
22 -82 -46 9 -20 -105 -116 -7 -40
23 -48 -76 -79 6 -128 -56 -44 -128
24 -128 22 -17 -47 -128 -128 -42 -128
25 -41 -51 -59 -43 -51 -67 -1 -63
26 -128 46 -33 16 -128 -108 -2 -128
27 -55 -23 -8 -17 -81 -103 -19 -74
28 -128 35 -18 -7 -115 -68 45 -121
29 -79 -3 -24 -60 -63 -87 -25 -85
30 -128 71 -10 -5 -128 -95 37 -128
31 -92 -83 52 35 -128 -109 -87 -128
32 -128 5 -38 -84 -128 -128 -57 -119
33 -90 0 -72 -67 -68 -80 9 -88
34 -127 -37 -1 -61 -107 -121 -43 -68
35 -58 9 -106 -50 -70 -60 37 -83
36 -49 -24 -51 -51 -120 -128 -86 -91
37 -86 -9 -106 -102 -46 -64 -10 -91
38 -128 22 -31 -106 -107 -128 -27 -60
39 -101 -76 -51 -66 -115 -72 -76 -121
40 -128 -33 -91 -113 -109 -128 -74 -114
41 -105 -37 -75 -121 -69 -117 -36 -55
42 -94 50 -84 -18 -116 -102 20 -128
43 -60 -35 1 -1 -128 -128 -68 -99
44 -128 -108 -35 -56 -105 -54 -70 -124
45 -68 -82 -119 -128 -50 -104 -55 -46
46 -108 -18 -87 -73 -116 -128 -41 -99
47 -19 -62 -74 -9 -128 -128 -80 -112
48 -110 -12 -128 -86 -110 -128 -6 -91
49 -66 -17 -72 -35 -99 -121 -74 -128
50 -128 24 -13 -35 -128 -128 27 -62
51 -74 -94 -41 -28 -101 -51 -82 -128
52 -75 -68 -103 -100 -98 -117 -87 -106
53 -101 -32 -87 -64 -89 -110 -47 -121
54 -128 49 -15 7 -128 -128 24 -125
55 -121 -80 43 44 -128 -90 -72 -128
56 -128 -28 -13 -57 -128 -128 -72 -121
57 -128 -12 -86 -74 -60 -45 27 -103
58 -128 -5 -3 -82 -128 -128 -81 -128
59 -120 -83 -64 -97 -84 -67 -59 -110
60 -128 -64 -77 -91 -114 -114 -73 -117
61 -128 4 -107 -95 -77 -98 -3 -99
62 -128 23 -24 -90 -119 -128 -33 -101
63 -128 -86 -27 -103 -113 -81 -97 -124
